LAPANGAN TERBANG Airports,"DALAM NEGERI                               
Domestic",Unnamed: 2,Unnamed: 3,"ANTARABANGSA                               
International",Unnamed: 5,Unnamed: 6,"JUMLAH                                                         
Total",Unnamed: 8,Unnamed: 9,"TRANSIT                                                         
Transit",Unnamed: 11,Unnamed: 12
,,,,,,,,,,,,
,"DIHANTAR 
Unloaded","DIANGKUT 
Loaded","JUMLAH 
Total","DIHANTAR 
Unloaded","DIANGKUT 
Loaded","JUMLAH 
Total","DIHANTAR 
Unloaded","DIANGKUT 
Loaded","JUMLAH 
Total","DALAM NEGERI 
Domestic","ANTARA-BANGSA 
International","JUMLAH 
Total"
,,,,,,,,,,,,
,,,,,,,,,,,,
KLIA,5591692,14244366,19836058,60395161,54186618,114581779,65986853,68430984,134417837,0,0,0
KLIA2,603862,404933,1008795,1742111,426937,2169048,2345973,831870,3177843,0,0,0
PULAU PINANG ,2120727,1227721,3348448,13388016,17143267,30531283,15508743,18370988,33879731,0,3253118,3253118
KOTA KINABALU,8424125,3730771,12154896,232287,1234436,1466723,8656412,4965207,13621619,444292,13370,457662
KUCHING,8309181,2169608,10478789,6838,659209,666047,8316019,2828817,11144836,38828,93151,131979
LANGKAWI,17195,29414,46609,0,0,0,17195,29414,46609,0,0,0
JOHOR BAHRU,135570,238392,373962,318742,376272,695014,454312,614664,1068976,0,0,0
KOTA BHARU,43782,36885,80667,0,0,0,43782,36885,80667,0,0,0
IPOH,0,0,0,0,0,0,0,0,0,0,0,0
KUALA TERENGGANU,15347,12737,28084,0,0,0,15347,12737,28084,0,0,0
ALOR SETAR,16503,14981,31484,0,0,0,16503,14981,31484,0,0,0
MELAKA,0,0,0,0,0,0,0,0,0,0,0,0
SUBANG,1212644,4161999,5374643,5550728,3825553,9376281,6763372,7987552,14750924,0,0,0
KUANTAN,72,0,72,0,0,0,72,0,72,0,0,0
TIOMAN,0,0,0,0,0,0,0,0,0,0,0,0
PANGKOR,0,0,0,0,0,0,0,0,0,0,0,0
REDANG,0,0,0,0,0,0,0,0,0,0,0,0
LABUAN,245938,52071,298009,0,23133,23133,245938,75204,321142,282,0,282
LAHAD DATU,33648,15461,49109,0,0,0,33648,15461,49109,0,0,0
SANDAKAN,77598,162421,240019,0,0,0,77598,162421,240019,502,0,502
TAWAU,1413914,2572713,3986627,0,0,0,1413914,2572713,3986627,691,0,691
BINTULU,44328,8928,53256,0,0,0,44328,8928,53256,0,0,0
MIRI,1238885,248308,1487193,0,0,0,1238885,248308,1487193,39036,0,39036
SIBU,585485,76149,661634,0,0,0,585485,76149,661634,0,0,0
MULU,10619,479,11098,0,0,0,10619,479,11098,0,0,0
LIMBANG,56041,30353,86394,0,0,0,56041,30353,86394,0,0,0
STOL SABAH,0,0,0,0,0,0,0,0,0,0,0,0
STOL SARAWAK,15041,59011,74052,0,0,0,15041,59011,74052,15426,0,15426
SEMENANJUNG                         Peninsular,9757394,20371428,30128822,81394758,75958647,157353405,91152152,96330075,187482227,0,3253118,3253118
SABAH ,10195223,6533437,16728660,232287,1257569,1489856,10427510,7791006,18218516,445767,13370,459137
SARAWAK,10259580,2592836,12852416,6838,659209,666047,10266418,3252045,13518463,93290,93151,186441
"JUMLAH                                     
Total ",30212197,29497701,59709898,81633883,77875425,159509308,111846080,107373126,219219206,539057,3359639,3898696
,,,,,,,,,,,,
"SUMBER/ Source: MALAYSIA AIRPORTS HOLDINGS BERHAD (MAHB), SENAI AIRPORT TERMINAL SERVICES (SATS)",,,,,,,,,,,,
