Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,KILOGRAM
LAPANGAN TERBANG Airport,SUKU PERTAMA First Quarter,SUKU KEDUA Second Quarter,SUKU KETIGA Third Quarter,SUKU KEEMPAT Fourth Quarter
KLIA,134417837,142601913.57,,
KLIA2,3177843,6315225.551,,
PULAU PINANG ,33879731,32840835,,
KOTA KINABALU,13621619,13957062.478219355,,
KUCHING,11144836,11739240.8,,
LANGKAWI,46609,38380,,
JOHOR BAHRU,1068976,668191,,
KOTA BHARU,80667,106595,,
IPOH,0,0,,
KUALA TERENGGANU,28084,46287,,
ALOR SETAR,31484,45000,,
MELAKA,0,0,,
SUBANG,14750924,17249984.45868,,
KUANTAN,72,17,,
TIOMAN,0,0,,
PANGKOR,0,0,,
REDANG,0,0,,
LABUAN,321142,400897.41161290323,,
LAHAD DATU,49109,38131,,
SANDAKAN,240019,302026,,
TAWAU,3986627,4340506,,
BINTULU,53256,51340,,
MIRI,1487193,1659973,,
SIBU,661634,733123.64,,
MULU,11098,26643,,
LIMBANG,86394,72660,,
MUKAH,0,0,,
STOL SABAH,0,0,,
STOL SARAWAK,74052,69472.44838709678,,
"SEMENANJUNG                         
Peninsular",187482227,199912428.57968,0,0
SABAH ,18218516,19038622.88983226,0,0
SARAWAK,13518463,14352452.888387099,0,0
"JUMLAH                                     
Total ",219219206,233303504.35789937,0,0
,,,,
"SUMBER/ Source: MALAYSIA AIRPORTS HOLDINGS BERHAD (MAHB), SENAI AIRPORT TERMINAL SERVICES (SATS)",,,,
