LAPANGAN TERBANG Airports,"DALAM NEGERI                               
Domestic",Unnamed: 2,Unnamed: 3,"ANTARABANGSA                               
International",Unnamed: 5,Unnamed: 6,"JUMLAH                                                         
Total",Unnamed: 8,Unnamed: 9,"TRANSIT                                                         
Transit",Unnamed: 11,Unnamed: 12
,,,,,,,,,,,,
,"DIHANTAR 
Unloaded","DIANGKUT 
Loaded","JUMLAH 
Total","DIHANTAR 
Unloaded","DIANGKUT 
Loaded","JUMLAH 
Total","DIHANTAR 
Unloaded","DIANGKUT 
Loaded","JUMLAH 
Total","DALAM NEGERI 
Domestic","ANTARA-BANGSA 
International","JUMLAH 
Total"
,,,,,,,,,,,,
,,,,,,,,,,,,
KLIA,203,4,207,2230041,2044804,4274845,2230244,2044808,4275052,13387,30113,43500
KLIA2,0,0,0,0,0,0,0,0,0,0,0,0
PULAU PINANG ,0,0,0,1,0,1,1,0,1,0,0,0
KOTA KINABALU,502,17,519,0,0,0,502,17,519,0,0,0
KUCHING,48,360,408,0,134,134,48,494,542,124,14966,15090
LANGKAWI,0,0,0,0,0,0,0,0,0,0,0,0
JOHOR BAHRU,271572,136704,408276,425501,457166,882667,697073,593870,1290943,0,0,0
KOTA BHARU,3,0,3,0,0,0,3,0,3,0,0,0
IPOH,0,0,0,0,0,0,0,0,0,0,0,0
KUALA TERENGGANU,0,0,0,0,0,0,0,0,0,0,0,0
ALOR SETAR,0,0,0,0,0,0,0,0,0,0,0,0
MELAKA,0,0,0,0,0,0,0,0,0,0,0,0
SUBANG,0,0,0,0,0,0,0,0,0,0,0,0
KUANTAN,0,0,0,0,0,0,0,0,0,0,0,0
TIOMAN,0,0,0,0,0,0,0,0,0,0,0,0
PANGKOR,0,0,0,0,0,0,0,0,0,0,0,0
REDANG,0,0,0,0,0,0,0,0,0,0,0,0
LABUAN,17,590,607,0,0,0,17,590,607,0,0,0
LAHAD DATU,0,0,0,0,0,0,0,0,0,0,0,0
SANDAKAN,0,44,44,0,0,0,0,44,44,0,0,0
TAWAU,49,0,49,0,0,0,49,0,49,52,0,52
BINTULU,7,0,7,0,0,0,7,0,7,0,0,0
MIRI,50,3155,3205,0,0,0,50,3155,3205,0,0,0
SIBU,0,0,0,0,0,0,0,0,0,0,0,0
MULU,1310,50,1360,0,0,0,1310,50,1360,0,0,0
LIMBANG,10,62,72,0,0,0,10,62,72,0,0,0
MUKAH,0,0,0,0,0,0,,,,0,0,
STOL SABAH,0,0,0,0,0,0,0,0,0,0,0,0
STOL SARAWAK,0,0,0,0,0,0,0,0,0,0,0,0
SEMENANJUNG                         Peninsular,271778,136708,408486,2655543,2501970,5157513,2927321,2638678,5565999,13387,30113,43500
SABAH ,568,651,1219,0,0,0,568,651,1219,52,0,52
SARAWAK,1425,3627,5052,0,134,134,1425,3761,5186,124,14966,15090
"JUMLAH                                     
Total ",273771,140986,414757,2655543,2502104,5157647,2929314,2643090,5572404,13563,45079,58642
,,,,,,,,,,,,
SUMBER/ Source: MALAYSIA AIRPORTS HOLDINGS BERHAD (MAHB),,,,,,,,,,,,
