Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,KILOGRAM
"LAPANGAN TERBANG
 Airports",SUKU PERTAMA First Quarter,SUKU KEDUA Second Quarter,SUKU KETIGA     Third Quarter,SUKU KEEMPAT     Fourth Quarter
KLIA,3758067,4277360,,
KLIA2,0,0,,
PULAU PINANG ,91,1,,
KOTA KINABALU,13925,519,,
KUCHING,141,542,,
LANGKAWI,0,0,,
JOHOR BAHRU,1412039,1290943,,
KOTA BHARU,0,3,,
IPOH,0,0,,
KUALA TERENGGANU,0,0,,
ALOR SETAR,0,0,,
MELAKA,0,0,,
SUBANG,0,0,,
KUANTAN,0,0,,
TIOMAN,0,0,,
PANGKOR,0,0,,
REDANG,0,0,,
LABUAN,1563,607,,
LAHAD DATU,0,0,,
SANDAKAN,157,44,,
TAWAU,152,49,,
BINTULU,4,7,,
MIRI,2461,3205,,
SIBU,4,0,,
MULU,598,1360,,
LIMBANG,750,72,,
MUKAH,0,0,,
STOL SABAH,0,0,,
STOL SARAWAK,0,0,,
"SEMENANJUNG                         
Peninsular",5170197,5568307,0,0
SABAH ,15797,1219,0,0
SARAWAK,3958,5186,0,0
"JUMLAH                                     
Total ",5189952,5574712,0,0
,,,,
SUMBER/ Source: MALAYSIA AIRPORTS HOLDINGS BERHAD (MAHB),,,,
