LAPANGAN TERBANG Airports,"DALAM NEGERI                               
Domestic",Unnamed: 2,Unnamed: 3,"ANTARABANGSA                               
International",Unnamed: 5,Unnamed: 6,"JUMLAH                                                         
Total",Unnamed: 8,Unnamed: 9,"TRANSIT                                                         
Transit",Unnamed: 11,Unnamed: 12
,,,,,,,,,,,,
,"KETIBAAN 
Arrival","BERLEPAS 
Departure","JUMLAH 
Total","KETIBAAN 
Arrival","BERLEPAS 
Departure","JUMLAH 
Total","KETIBAAN 
Arrival","BERLEPAS 
Departure","JUMLAH 
Total","DALAM NEGERI 
Domestic","ANTARABANGSA 
International","JUMLAH 
Total"
,,,,,,,,,,,,
,,,,,,,,,,,,
KLIA,55962,55763,111725,58166,119600,177766,114128,175363,289491,0,10334,10334
KLIA2 ,64484,64029,128513,4575,40147,44722,69059,104176,173235,0,0,0
PULAU PINANG ,22678,22955,45633,1947,4327,6274,24625,27282,51907,340,0,340
KOTA KINABALU,77861,75821,153682,0,0,0,77861,75821,153682,3258,0,3258
KUCHING,44971,44988,89959,828,330,1158,45799,45318,91117,0,39,39
LANGKAWI,8431,9008,17439,0,0,0,8431,9008,17439,48,0,48
JOHOR BAHRU,15939,16431,32370,0,40,40,15939,16471,32410,0,15,15
KOTA BHARU,29970,30411,60381,0,16,16,29970,30427,60397,99,0,99
IPOH,84,116,200,422,338,760,506,454,960,0,0,0
KUALA TERENGGANU,10948,11165,22113,0,0,0,10948,11165,22113,146,0,146
ALOR SETAR,8570,8898,17468,0,0,0,8570,8898,17468,109,0,109
MELAKA,0,0,0,0,0,0,0,0,0,0,0,0
SUBANG,59174,58068,117242,6,10,16,59180,58078,117258,0,0,0
KUANTAN,456,539,995,0,0,0,456,539,995,55,0,55
TIOMAN,0,0,0,0,0,0,0,0,0,0,0,0
PANGKOR,0,0,0,0,0,0,0,0,0,0,0,0
REDANG,236,244,480,0,0,0,236,244,480,0,0,0
LABUAN,11918,14108,26026,0,0,0,11918,14108,26026,82,0,82
LAHAD DATU,4857,4907,9764,0,0,0,4857,4907,9764,0,0,0
SANDAKAN,18626,18161,36787,0,0,0,18626,18161,36787,80,0,80
TAWAU,28436,26983,55419,0,0,0,28436,26983,55419,48,0,48
BINTULU,7827,7884,15711,0,0,0,7827,7884,15711,0,0,0
MIRI,36654,38025,74679,0,6,6,36654,38031,74685,0,0,0
SIBU,12985,13316,26301,0,0,0,12985,13316,26301,0,0,0
MULU,651,651,1302,0,0,0,651,651,1302,0,0,0
LIMBANG,7276,7080,14356,0,0,0,7276,7080,14356,0,0,0
MUKAH,290,308,598,0,0,0,290,308,598,0,0,0
STOL SABAH,0,0,0,0,0,0,0,0,0,0,0,0
STOL SARAWAK,9306,9163,18469,0,0,0,9306,9163,18469,307,0,307
SEMENANJUNG                         Peninsular,276932,277627,554559,65116,164478,229594,342048,442105,784153,797,10349,11146
SABAH ,141698,139980,281678,0,0,0,141698,139980,281678,3468,0,3468
SARAWAK,119960,121415,241375,828,336,1164,120788,121751,242539,307,39,346
"JUMLAH                                     
Total ",538590,539022,1077612,65944,164814,230758,604534,703836,1308370,4572,10388,14960
,,,,,,,,,,,,
"SUMBER/ Source: MALAYSIA AIRPORTS HOLDINGS BERHAD (MAHB), SENAI AIRPORT TERMINAL SERVICES (SATS)",,,,,,,,,,,,
