LAPANGAN TERBANG Airports,"DALAM NEGERI                               
Domestic",Unnamed: 2,Unnamed: 3,"ANTARABANGSA                               
International",Unnamed: 5,Unnamed: 6,"JUMLAH                                                         
Total",Unnamed: 8,Unnamed: 9
,,,,,,,,,
,"BERJADUAL 
Scheduled","TIDAK BERJADUAL 
Non Scheduled","JUMLAH 
Total","BERJADUAL 
Scheduled","TIDAK BERJADUAL 
Non Scheduled","JUMLAH 
Total","BERJADUAL 
Scheduled","TIDAK BERJADUAL 
Non Scheduled","JUMLAH 
Total"
,,,,,,,,,
,,,,,,,,,
KLIA,7206,473,7679,10306,2153,12459,17512,2626,20138
KLIA2,8616,235,8851,938,760,1698,9554,995,10549
PULAU PINANG ,4810,0,4810,2018,0,2018,6828,0,6828
KOTA KINABALU,6579,1960,8539,171,266,437,6750,2226,8976
KUCHING,6063,1050,7113,240,10,250,6303,1060,7363
LANGKAWI,5291,0,5291,26,0,26,5317,0,5317
JOHOR BAHRU,2932,897,3829,0,79,79,2932,976,3908
KOTA BHARU,3573,756,4329,0,0,0,3573,756,4329
IPOH,188,99,287,146,5,151,334,104,438
KUALA TERENGGANU,1534,29,1563,0,0,0,1534,29,1563
ALOR SETAR,1592,0,1592,0,0,0,1592,0,1592
MELAKA,0,0,0,0,0,0,0,0,0
SUBANG,7524,353,7877,632,141,773,8156,494,8650
KUANTAN,206,4,210,0,0,0,206,4,210
TIOMAN,0,0,0,0,0,0,0,0,0
PANGKOR,0,4,4,0,0,0,0,4,4
REDANG,72,7,79,0,0,0,72,7,79
LABUAN,1312,196,1508,29,0,29,1341,196,1537
LAHAD DATU,636,12,648,0,0,0,636,12,648
SANDAKAN,1508,34,1542,0,0,0,1508,34,1542
TAWAU,2229,36,2265,10,0,10,2239,36,2275
BINTULU,1128,366,1494,0,4,4,1128,370,1498
MIRI,5128,1983,7111,0,1,1,5128,1984,7112
SIBU,1739,0,1739,0,0,0,1739,0,1739
MULU,368,50,418,0,0,0,368,50,418
LIMBANG,634,132,766,0,0,0,634,132,766
MUKAH,836,72,908,0,0,0,836,72,908
STOL SABAH,0,0,0,0,0,0,0,0,0
STOL SARAWAK,2794,596,3390,0,0,0,2794,596,3390
SEMENANJUNG                         Peninsular,43544,2857,46401,14066,3138,17204,57610,5995,63605
,,,,,,,,,
SABAH ,12264,2238,14502,210,266,476,12474,2504,14978
SARAWAK,18690,4249,22939,240,15,255,18930,4264,23194
"JUMLAH                                     
Total ",74498,9344,83842,14516,3419,17935,89014,12763,101777
,,,,,,,,,
,,,,,,,,,
"SUMBER/ Source: MALAYSIA AIRPORTS HOLDINGS BERHAD (MAHB), SENAI AIRPORT TERMINAL SERVICES (SATS)",,,,,,,,,
